Sourceid,Title,Type,Issn,Subject_Category
21101060914,Rivista di Psicolinguistica Applicata,journal,"17240646, 15921328",Social_Psychology
21100208021,Infant Observation,journal,"17458943, 13698036",Social_Psychology
17600155046,Travailler,journal,"21025150, 16205340",Social_Psychology
21100433805,Youth Voice Journal,journal,"20562969, 20492073",Social_Psychology
5800169793,Connexions,journal,"17762804, 03373126",Social_Psychology
21100213000,Dialogue,journal,02428962,Social_Psychology
21101047721,Human Research in Rehabilitation,journal,"22329935, 2232996X",Social_Psychology
4700152269,Journal of Japanese Studies,journal,"00956848, 15494721",Social_Psychology
21101053580,Journal of Psychosocial Studies,journal,14786737,Social_Psychology
21100902943,"Discourse Approaches to Politics, Society and Culture",book series,15699463,Social_Psychology
17600155214,Empan,journal,11523336,Social_Psychology
19400157157,Research in Social Psychology,journal,09161503,Social_Psychology
21634,Revija za Kriminalistiko in Kriminologijo,journal,0034690X,Social_Psychology
21101117183,Environment and Social Psychology,journal,"24248975, 24247979",Social_Psychology
21100227422,Revista da Abordagem Gestaltica,journal,"19843542, 18096867",Social_Psychology
21100820884,Existenzanalyse,journal,"10247033, 24097306",Social_Psychology
21101159371,Nature Reviews Psychology,journal,27310574,Developmental_and_Educational_Psychology
13564,Educational Psychologist,journal,"15326985, 00461520",Developmental_and_Educational_Psychology
14278,Educational Psychology Review,journal,"1040726X, 1573336X",Developmental_and_Educational_Psychology
17643,Journal of the American Academy of Child and Adolescent Psychiatry,journal,"08908567, 15275418",Developmental_and_Educational_Psychology
21100834316,"Lancet Child and Adolescent Health, The",journal,23524642,Developmental_and_Educational_Psychology
12882,Contemporary Educational Psychology,journal,"0361476X, 10902384",Developmental_and_Educational_Psychology
15269,Monographs of the Society for Research in Child Development,journal,"0037976X, 15405834",Developmental_and_Educational_Psychology
15402,Journal of Child Psychology and Psychiatry and Allied Disciplines,journal,"00219630, 14697610",Developmental_and_Educational_Psychology
21101060182,Autism in Adulthood,journal,"25739581, 2573959X",Developmental_and_Educational_Psychology
13477,Current Directions in Psychological Science,journal,"14678721, 09637214",Developmental_and_Educational_Psychology
13502,Developmental Review,journal,"02732297, 10902406",Developmental_and_Educational_Psychology
12808,Journal of Educational Psychology,journal,"19392176, 00220663",Developmental_and_Educational_Psychology
12841,Clinical Child and Family Psychology Review,journal,"15732827, 10964037",Developmental_and_Educational_Psychology
13900154713,Child Development Perspectives,journal,"17508606, 17508592",Developmental_and_Educational_Psychology
12029,Applied Psychology,journal,"0269994X, 14640597",Developmental_and_Educational_Psychology
146223,Behavior Research Methods,journal,"15543528, 1554351X",Developmental_and_Educational_Psychology
13455,Learning and Instruction,journal,09594752,Developmental_and_Educational_Psychology
21100899528,Adolescent Research Review,journal,"23638354, 23638346",Developmental_and_Educational_Psychology
21933,Decision Support Systems,journal,01679236,Developmental_and_Educational_Psychology
14254,Autism,journal,"14617005, 13623613",Developmental_and_Educational_Psychology
16055,Reading Research Quarterly,journal,00340553,Developmental_and_Educational_Psychology
15548,European Child and Adolescent Psychiatry,journal,"10188827, 1435165X",Developmental_and_Educational_Psychology
15370,Journal of Abnormal Psychology,journal,"1939843X, 0021843X",Developmental_and_Educational_Psychology
13357,Journal of the Learning Sciences,journal,"10508406, 15327809",Developmental_and_Educational_Psychology
24456,Child Development,journal,"14678624, 00093920",Developmental_and_Educational_Psychology
14772,Human Communication Research,journal,"03603989, 14682958",Developmental_and_Educational_Psychology
25680,Journal of Youth and Adolescence,journal,"15736601, 00472891",Developmental_and_Educational_Psychology
12859,Cognition and Instruction,journal,"1532690X, 07370008",Developmental_and_Educational_Psychology
13563,Educational and Psychological Measurement,journal,"00131644, 15523888",Developmental_and_Educational_Psychology
30074,Journal of School Psychology,journal,"00224405, 18733506",Developmental_and_Educational_Psychology
12127,Behaviour Research and Therapy,journal,"00057967, 1873622X",Developmental_and_Educational_Psychology
14062,Psychonomic Bulletin and Review,journal,"10699384, 15315320",Developmental_and_Educational_Psychology
12770,British Journal of Educational Psychology,journal,"00070998, 20448279",Developmental_and_Educational_Psychology
25678,Journal of Research on Adolescence,journal,"10508392, 15327795",Developmental_and_Educational_Psychology
13503,Developmental Science,journal,"14677687, 1363755X",Developmental_and_Educational_Psychology
24451,Child Abuse and Neglect,journal,"01452134, 18737757",Developmental_and_Educational_Psychology
13453,Learning and Individual Differences,journal,"18733425, 10416080",Developmental_and_Educational_Psychology
15406,Journal of Clinical Child and Adolescent Psychology,journal,"15374424, 15374416",Developmental_and_Educational_Psychology
13500,Developmental Psychology,journal,"19390599, 00121649",Developmental_and_Educational_Psychology
12857,Cognition,journal,"18737838, 00100277",Developmental_and_Educational_Psychology
21101045327,AERA Open,journal,23328584,Developmental_and_Educational_Psychology
77191,Early Childhood Research Quarterly,journal,08852006,Developmental_and_Educational_Psychology
14871,International Journal of Behavioral Development,journal,"01650254, 14640651",Developmental_and_Educational_Psychology
145597,ELT Journal,journal,"14774526, 09510893",Developmental_and_Educational_Psychology
21101151822,Adversity and Resilience Science,journal,"26622416, 26622424",Developmental_and_Educational_Psychology
13491,Development and Psychopathology,journal,"09545794, 14692198",Developmental_and_Educational_Psychology
25655,Journal of Adolescence,journal,"10959254, 01401971",Developmental_and_Educational_Psychology
12872,Cognitive Psychology,journal,"10955623, 00100285",Developmental_and_Educational_Psychology
24469,Child Maltreatment,journal,10775595,Developmental_and_Educational_Psychology
22055,Exceptional Children,journal,"00144029, 21635560",Developmental_and_Educational_Psychology
22111,Journal of Autism and Developmental Disorders,journal,"15733432, 01623257",Developmental_and_Educational_Psychology
12020,"Anxiety, Stress and Coping",journal,"10615806, 14772205",Developmental_and_Educational_Psychology
15385,Journal of Applied Developmental Psychology,journal,01933973,Developmental_and_Educational_Psychology
14271,Educational Psychology,journal,"14695820, 01443410",Developmental_and_Educational_Psychology
14945,Cortex,journal,"19738102, 00109452",Developmental_and_Educational_Psychology
5700164300,Youth Violence and Juvenile Justice,journal,15412040,Developmental_and_Educational_Psychology
21101030210,Research on Child and Adolescent Psychopathology,journal,"27307166, 27307174",Developmental_and_Educational_Psychology
22370,Public Understanding of Science,journal,"09636625, 13616609",Developmental_and_Educational_Psychology
19600166326,Mindfulness,journal,"18688535, 18688527",Developmental_and_Educational_Psychology
70201,Clinical Neuropsychologist,journal,"13854046, 17444144",Developmental_and_Educational_Psychology
18747,Psychophysiology,journal,"00485772, 14698986",Developmental_and_Educational_Psychology
29471,American Journal of Orthopsychiatry,journal,"19390025, 00029432",Developmental_and_Educational_Psychology
