Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
31;19900191735;"Topics in Cognitive Science";journal;"17568765, 17568757";1,068;Q1;73;85;184;6385;527;156;2,61;75,12;United States;Northern America;"Wiley-Blackwell";"2009-2023";"Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Artificial Intelligence (Q2); Cognitive Neuroscience (Q2); Human-Computer Interaction (Q2)";"Computer Science; Neuroscience; Psychology; Social Sciences"
32;21100305282;"Emerging Adulthood";journal;"21676984, 21676968";1,065;Q1;42;114;246;7063;916;243;3,36;61,96;United Kingdom;Western Europe;"SAGE Publications Ltd";"2013-2023";"Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Life-span and Life-course Studies (Q1)";"Psychology; Social Sciences"
33;12001;"Journal of the Experimental Analysis of Behavior";journal;"00225002, 19383711";1,047;Q1;70;77;204;3928;437;202;1,68;51,01;United States;Northern America;"Wiley-Blackwell";"1958-2023";"Behavioral Neuroscience (Q1); Experimental and Cognitive Psychology (Q1)";"Neuroscience; Psychology"
34;14130;"Research in Organizational Behavior";journal;"01913085";1,046;Q1;78;8;27;1116;53;23;1,77;139,50;United Kingdom;Western Europe;"Emerald Publishing";"2000-2004, 2006, 2008-2022";"Experimental and Cognitive Psychology (Q1); Social Psychology (Q1); Organizational Behavior and Human Resource Management (Q2)";"Business, Management and Accounting; Psychology"
35;15481;"Journal of Experimental Psychology: Human Perception and Performance";journal;"00961523, 19391277";1,034;Q1;163;83;316;4533;766;316;2,25;54,61;United States;Northern America;"American Psychological Association";"1975-2023";"Arts and Humanities (miscellaneous) (Q1); Behavioral Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Medicine (miscellaneous) (Q1)";"Arts and Humanities; Medicine; Neuroscience; Psychology"
36;12061;"Memory and Cognition";journal;"0090502X, 15325946";1,034;Q1;142;151;325;9035;926;324;2,75;59,83;United States;Northern America;"Springer New York";"1973-2023";"Arts and Humanities (miscellaneous) (Q1); Experimental and Cognitive Psychology (Q1); Medicine (miscellaneous) (Q1); Neuropsychology and Physiological Psychology (Q1)";"Arts and Humanities; Medicine; Psychology"
37;17467;"Neurobiology of Learning and Memory";journal;"10959564, 10747427";1,033;Q1;134;85;363;5909;903;358;2,33;69,52;United States;Northern America;"Academic Press Inc.";"1995-2023";"Behavioral Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Cognitive Neuroscience (Q2)";"Neuroscience; Psychology"
38;17500155105;"Emotion Review";journal;"17540747, 17540739";1,032;Q1;93;39;98;2801;315;78;3,50;71,82;United Kingdom;Western Europe;"SAGE Publications Ltd";"2009-2023";"Arts and Humanities (miscellaneous) (Q1); Experimental and Cognitive Psychology (Q1); Social Psychology (Q1)";"Arts and Humanities; Psychology"
39;21101044921;"Journal of Cognition";journal;"25144820";1,019;Q1;19;63;148;5080;427;143;2,02;80,63;United Kingdom;Western Europe;"Ubiquity Press";"2018-2023";"Experimental and Cognitive Psychology (Q1)";"Psychology"
40;15476;"Journal of Experimental Psychology: Applied";journal;"19392192, 1076898X";1,010;Q1;98;38;181;2451;538;181;2,93;64,50;United States;Northern America;"American Psychological Association";"1995-2023";"Experimental and Cognitive Psychology (Q1)";"Psychology"
